book_id,title,author,is_bestseller,filename
84,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft",1,84.txt
45304,"The City of God, Volume I","Augustine, of Hippo, Saint",1,45304.txt
2701,"Moby Dick; Or, The Whale","Melville, Herman",1,2701.txt
1342,Pride and Prejudice,"Austen, Jane",1,1342.txt
768,Wuthering Heights,"Bront, Emily",1,768.txt
1513,Romeo and Juliet,"Shakespeare, William",1,1513.txt
52106,The origin and development of the moral ideas,"Westermarck, Edward",1,52106.txt
11,Alice's Adventures in Wonderland,"Carroll, Lewis",1,11.txt
64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",1,64317.txt
100,The Complete Works of William Shakespeare,"Shakespeare, William",1,100.txt
1260,Jane Eyre: An Autobiography,"Bront, Charlotte",1,1260.txt
2641,A Room with a View,"Forster, E. M. (Edward Morgan)",1,2641.txt
43,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",1,43.txt
8492,The King in Yellow,"Chambers, Robert W. (Robert William)",1,8492.txt
145,Middlemarch,"Eliot, George",1,145.txt
174,The Picture of Dorian Gray,"Wilde, Oscar",1,174.txt
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",1,844.txt
2554,Crime and Punishment,"Dostoyevsky, Fyodor",1,2554.txt
37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",1,37106.txt
67979,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",1,67979.txt
1184,The Count of Monte Cristo,"Dumas, Alexandre, Maquet, Auguste",1,1184.txt
3207,Leviathan,"Hobbes, Thomas",1,3207.txt
5197,My Life  Volume 1,"Wagner, Richard",1,5197.txt
345,Dracula,"Stoker, Bram",1,345.txt
2542,A Doll's House : a play,"Ibsen, Henrik",1,2542.txt
16389,The Enchanted April,"Von Arnim, Elizabeth",1,16389.txt
1259,Twenty years after,"Dumas, Alexandre, Maquet, Auguste",1,1259.txt
28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",1,28054.txt
76,Adventures of Huckleberry Finn,"Twain, Mark",1,76.txt
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1,1661.txt
6761,The Adventures of Ferdinand Count Fathom  Complete,"Smollett, T. (Tobias)",1,6761.txt
98,A Tale of Two Cities,"Dickens, Charles",1,98.txt
394,Cranford,"Gaskell, Elizabeth Cleghorn",1,394.txt
2160,The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",1,2160.txt
6593,"History of Tom Jones, a Foundling","Fielding, Henry",1,6593.txt
4085,The Adventures of Roderick Random,"Smollett, T. (Tobias)",1,4085.txt
1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1,1080.txt
1400,Great Expectations,"Dickens, Charles",1,1400.txt
16328,Beowulf: An Anglo-Saxon Epic Poem,Unknown,1,16328.txt
1232,The Prince,"Machiavelli, Niccol",1,1232.txt
1998,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm",1,1998.txt
57336,Ancient Britain and the Invasions of Julius Caesar,"Holmes, T. Rice (Thomas Rice)",1,57336.txt
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins",1,1952.txt
2680,Meditations,"Marcus Aurelius, Emperor of Rome",1,2680.txt
25344,The Scarlet Letter,"Hawthorne, Nathaniel",1,25344.txt
5200,Metamorphosis,"Kafka, Franz",1,5200.txt
47715,The Works of William Shakespeare [Cambridge Edition] [Vol. 7 of 9],"Shakespeare, William",1,47715.txt
2591,Grimms' Fairy Tales,"Grimm, Jacob, Grimm, Wilhelm",1,2591.txt
4300,Ulysses,"Joyce, James",1,4300.txt
2600,War and Peace,"Tolstoy, Leo, graf",1,2600.txt
205,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",1,205.txt
50559,The Works of William Shakespeare [Cambridge Edition] [Vol. 3 of 9],"Shakespeare, William",1,50559.txt
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",1,45.txt
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark",1,74.txt
3296,The Confessions of St. Augustine,"Augustine, of Hippo, Saint",1,3296.txt
829,Gulliver's Travels into Several Remote Nations of the World,"Swift, Jonathan",0,829.txt
120,Treasure Island,"Stevenson, Robert Louis",0,120.txt
36034,"White nights, and other stories","Dostoyevsky, Fyodor",0,36034.txt
49008,The Works of William Shakespeare [Cambridge Edition] [Vol. 8 of 9],"Shakespeare, William",0,49008.txt
51960,"The Ancient Stone Implements, Weapons and Ornaments, of Great Britain: Second Edition, Revised","Evans, John",0,51960.txt
8800,The divine comedy,Dante Alighieri,0,8800.txt
1727,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,0,1727.txt
1399,Anna Karenina,"Tolstoy, Leo, graf",0,1399.txt
28189,My Friends the Savages: Notes and Observations of a Perak settler (Malay Peninsula),"Cerruti, Giovanni Battista",0,28189.txt
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",0,2852.txt
408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",0,408.txt
244,A Study in Scarlet,"Doyle, Arthur Conan",0,244.txt
34901,On Liberty,"Mill, John Stuart",0,34901.txt
27673,Oedipus King of Thebes: Translated into English Rhyming Verse with Explanatory Notes,Sophocles,0,27673.txt
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",0,55.txt
4363,Beyond Good and Evil,"Nietzsche, Friedrich Wilhelm",0,4363.txt
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",0,23.txt
57493,"The Natural History of Pliny, Volume 1 (of 6)","Pliny, the Elder",0,57493.txt
7370,Second Treatise of Government,"Locke, John",0,7370.txt
60230,"The Natural History of Pliny, Volume 2 (of 6)","Pliny, the Elder",0,60230.txt
78248,Prolegomena to the study of Greek religion,"Harrison, Jane Ellen",0,78248.txt
45917,Origin of Cultivated Plants: The International Scientific Series Volume XLVIII,"Candolle, Alphonse de",0,45917.txt
219,Heart of Darkness,"Conrad, Joseph",0,219.txt
50095,The Works of William Shakespeare [Cambridge Edition] [Vol. 4 of 9],"Shakespeare, William",0,50095.txt
161,Sense and Sensibility,"Austen, Jane",0,161.txt
16,Peter Pan : $b [Peter and Wendy],"Barrie, J. M. (James Matthew)",0,16.txt
51143,The Waterloo Roll Call: With Biographical Notes and Anecdotes,"Dalton, Charles",0,51143.txt
135,Les Misrables,"Hugo, Victor",0,135.txt
24869,"The Rmyan of Vlmki, translated into English verse",Valmiki,0,24869.txt
59131,"The Natural History of Pliny, Volume 3 (of 6)","Pliny, the Elder",0,59131.txt
730,Oliver Twist,"Dickens, Charles",0,730.txt
2148,The Works of Edgar Allan Poe  Volume 2,"Poe, Edgar Allan",0,2148.txt
1497,The Republic,Plato,0,1497.txt
215,The call of the wild,"London, Jack",0,215.txt
52160,"A Short History of Freethought Ancient and Modern, Volume 2 of 2: Third edition, Revised and Expanded, in two volumes","Robertson, J. M. (John Mackinnon)",0,52160.txt
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",0,164.txt
521,The Life and Adventures of Robinson Crusoe,"Defoe, Daniel",0,521.txt
20203,Autobiography of Benjamin Franklin,"Franklin, Benjamin",0,20203.txt
51252,The Book of the Thousand Nights and a Night  Volume 01 (of 10),Unknown,0,51252.txt
21765,"The Metamorphoses of Ovid, Books I-VII",Ovid,0,21765.txt
1023,Bleak House,"Dickens, Charles",0,1023.txt
36,The war of the worlds,"Wells, H. G. (Herbert George)",0,36.txt
132,The Art of War,"Sunzi, active 6th century B.C.",0,132.txt
996,Don Quixote,"Cervantes Saavedra, Miguel de",0,996.txt
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",0,46.txt
46976,"The Anabasis of Alexander : $b or, The history of the wars and conquests of Alexander the Great",Arrian,0,46976.txt
49007,The Works of William Shakespeare [Cambridge Edition] [Vol. 6 of 9],"Shakespeare, William",0,49007.txt
50685,"The Story of Genesis and Exodus: An Early English Song, about 1250 A.D.",Unknown,0,50685.txt
48155,"History of Ancient Pottery: Greek, Etruscan, and Roman.  Volume 2 (of 2)","Walters, H. B. (Henry Beauchamp), Birch, Samuel",0,48155.txt
19488,"The Life of Joan of Arc, Vol. 1 and 2","France, Anatole",0,19488.txt
209,The Turn of the Screw,"James, Henry",0,209.txt
50883,"Narrative and Critical History of America, Vol. 2 (of 8): Spanish Explorations and Settlements in America from the Fifteenth to the Seventeenth Century",Unknown,0,50883.txt
35,The Time Machine,"Wells, H. G. (Herbert George)",0,35.txt
15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself","Equiano, Olaudah",0,15399.txt
58750,"Superstition and Force: Essays on the Wager of Law, the Wager of Battle, the Ordeal, Torture","Lea, Henry Charles",0,58750.txt
